device,precision,recall,f1
Amazon Echo,1.0,0.9984709480122325,0.9992348890589136
Android Phone 2,0.5454545454545454,1.0,0.7058823529411765
Belkin Wemo switch,0.5864978902953587,0.7842031029619182,0.6710923355461678
Belkin wemo motion sensor,0.7162162162162162,0.42799461641991926,0.535804549283909
Dropcam,1.0,1.0,1.0
HP Printer,0.976890756302521,0.9567901234567902,0.9667359667359667
Laptop,1.0,1.0,1.0
Netatmo Welcome,0.9967479674796748,1.0,0.998371335504886
Netatmo weather station,1.0,1.0,1.0
PIX-STAR Photo-frame,0.8658536585365854,0.9646739130434783,0.9125964010282777
Samsung Galaxy Tab,0.9992383853769993,0.7632344386271088,0.8654353562005277
Samsung SmartCam,0.9986577181208054,1.0,0.9993284083277367
Smart Things,1.0,1.0,1.0
TP-Link Day Night Cloud camera,0.9387755102040817,0.9969040247678018,0.9669669669669669
TP-Link Smart plug,0.6480730223123732,1.0,0.7864615384615384
TPLink Router Bridge LAN,1.0,1.0,1.0
Triby Speaker,1.0,1.0,1.0
Withings Smart Baby Monitor,0.9985119047619048,1.0,0.9992553983618764
