device,precision,recall,f1
Amazon Echo,1.0,1.0,1.0
Android Phone 2,0.5555555555555556,1.0,0.7142857142857143
Belkin Wemo switch,0.7564766839378239,0.8957055214723927,0.8202247191011236
Belkin wemo motion sensor,0.8661971830985915,0.7192982456140351,0.7859424920127795
Dropcam,1.0,1.0,1.0
HP Printer,0.9803921568627451,1.0,0.9900990099009901
Laptop,0.5714285714285714,0.5714285714285714,0.5714285714285714
Netatmo Welcome,1.0,1.0,1.0
Netatmo weather station,1.0,1.0,1.0
PIX-STAR Photo-frame,0.96875,1.0,0.9841269841269841
Samsung Galaxy Tab,1.0,0.8275862068965517,0.9056603773584906
Samsung SmartCam,1.0,1.0,1.0
Smart Things,1.0,1.0,1.0
TP-Link Day Night Cloud camera,0.9545454545454546,1.0,0.9767441860465116
TP-Link Smart plug,1.0,1.0,1.0
TPLink Router Bridge LAN,1.0,1.0,1.0
Triby Speaker,1.0,1.0,1.0
Withings Smart Baby Monitor,1.0,1.0,1.0
