device,precision,recall,f1
Amazon Echo,1.0,0.9886363636363636,0.9942857142857143
Android Phone 2,0.6666666666666666,1.0,0.8
Belkin Wemo switch,1.0,1.0,1.0
Belkin wemo motion sensor,0.9900990099009901,1.0,0.9950248756218906
Dropcam,1.0,0.9921259842519685,0.9960474308300395
HP Printer,0.9774436090225563,1.0,0.9885931558935361
Laptop,1.0,1.0,1.0
Netatmo Welcome,0.9939393939393939,1.0,0.9969604863221885
Netatmo weather station,1.0,1.0,1.0
PIX-STAR Photo-frame,0.9210526315789473,1.0,0.958904109589041
Samsung Galaxy Tab,1.0,0.5657894736842105,0.7226890756302521
Samsung SmartCam,1.0,1.0,1.0
Smart Things,0.989247311827957,1.0,0.9945945945945946
TP-Link Day Night Cloud camera,0.9555555555555556,1.0,0.9772727272727273
TP-Link Smart plug,0.36666666666666664,1.0,0.5365853658536586
TPLink Router Bridge LAN,1.0,0.9946236559139785,0.9973045822102425
Triby Speaker,1.0,1.0,1.0
Withings Smart Baby Monitor,1.0,1.0,1.0
