device,precision,recall,f1
Amazon Echo,0.9992348890589136,0.9977081741787625,0.9984709480122325
Android Phone 2,0.22522522522522523,1.0,0.36764705882352944
Belkin Wemo switch,0.5748351090816844,0.7984496124031008,0.6684365781710915
Belkin wemo motion sensor,0.6960893854748603,0.4189643577673167,0.5230898404701931
Dropcam,1.0,1.0,1.0
HP Printer,0.9774514944939696,0.9588477366255144,0.9680602440924435
Laptop,0.95,1.0,0.9743589743589743
Netatmo Welcome,0.9979649979649979,1.0,0.9989814626196781
Netatmo weather station,0.9991532599491956,1.0,0.9995764506565015
PIX-STAR Photo-frame,0.8940438871473354,0.96875,0.9298989240299967
Samsung Galaxy Tab,0.9944649446494465,0.940389648153533,0.9666716484830369
Samsung SmartCam,1.0,1.0,1.0
Smart Things,1.0,1.0,1.0
TP-Link Day Night Cloud camera,0.912816691505216,0.9474091260634184,0.9297912713472486
TP-Link Smart plug,0.99921875,1.0,0.9996092223524814
TPLink Router Bridge LAN,1.0,1.0,1.0
Triby Speaker,1.0,1.0,1.0
Withings Smart Baby Monitor,1.0,0.9992548435171386,0.9996272828922848
