device,precision,recall,f1
Amazon Echo,1.0,1.0,1.0
Android Phone 2,1.0,1.0,1.0
Belkin Wemo switch,1.0,1.0,1.0
Belkin wemo motion sensor,1.0,1.0,1.0
Dropcam,1.0,1.0,1.0
HP Printer,0.8461538461538461,1.0,0.9166666666666666
Laptop,1.0,1.0,1.0
Netatmo Welcome,1.0,1.0,1.0
Netatmo weather station,0.9333333333333333,1.0,0.9655172413793104
PIX-STAR Photo-frame,0.7727272727272727,1.0,0.8717948717948718
Samsung Galaxy Tab,1.0,0.375,0.5454545454545454
Samsung SmartCam,1.0,1.0,1.0
Smart Things,0.8888888888888888,1.0,0.9411764705882353
TP-Link Day Night Cloud camera,1.0,0.9333333333333333,0.9655172413793104
TP-Link Smart plug,0.7777777777777778,1.0,0.875
TPLink Router Bridge LAN,1.0,1.0,1.0
Triby Speaker,1.0,1.0,1.0
Withings Smart Baby Monitor,1.0,1.0,1.0
