device,precision,recall,f1
Amazon Echo,1.0,0.9886363636363636,0.9942857142857143
Android Phone 2,0.6666666666666666,1.0,0.8
Belkin Wemo switch,1.0,1.0,1.0
Belkin wemo motion sensor,1.0,1.0,1.0
Dropcam,1.0,1.0,1.0
HP Printer,1.0,1.0,1.0
Laptop,1.0,1.0,1.0
Netatmo Welcome,1.0,1.0,1.0
Netatmo weather station,0.9824561403508771,1.0,0.9911504424778761
PIX-STAR Photo-frame,0.8641975308641975,1.0,0.9271523178807947
Samsung Galaxy Tab,1.0,0.5789473684210527,0.7333333333333333
Samsung SmartCam,1.0,1.0,1.0
Smart Things,1.0,1.0,1.0
TP-Link Day Night Cloud camera,0.9885057471264368,1.0,0.9942196531791907
TP-Link Smart plug,0.37037037037037035,0.9090909090909091,0.5263157894736842
TPLink Router Bridge LAN,1.0,1.0,1.0
Triby Speaker,0.9662921348314607,1.0,0.9828571428571429
Withings Smart Baby Monitor,1.0,1.0,1.0
