device,precision,recall,f1
Amazon Echo,1.0,0.9942965779467681,0.9971401334604385
Android Phone 2,0.8260869565217391,0.95,0.8837209302325582
Belkin Wemo switch,0.6691729323308271,0.8557692307692307,0.7510548523206751
Belkin wemo motion sensor,0.8206521739130435,0.668141592920354,0.7365853658536585
Dropcam,0.9994708994708995,1.0,0.9997353797300873
HP Printer,0.9405405405405406,0.8923076923076924,0.9157894736842105
Laptop,0.7948717948717948,0.9117647058823529,0.8493150684931506
Netatmo Welcome,0.9930313588850174,0.9982486865148862,0.9956331877729258
Netatmo weather station,0.99,1.0,0.9949748743718593
PIX-STAR Photo-frame,0.7625,0.9838709677419355,0.8591549295774648
Samsung Galaxy Tab,0.8783783783783784,0.5803571428571429,0.6989247311827957
Samsung SmartCam,1.0,1.0,1.0
Smart Things,1.0,1.0,1.0
TP-Link Day Night Cloud camera,0.9896907216494846,0.9320388349514563,0.96
TP-Link Smart plug,0.5945945945945946,0.9565217391304348,0.7333333333333333
TPLink Router Bridge LAN,1.0,1.0,1.0
Triby Speaker,1.0,1.0,1.0
Withings Smart Baby Monitor,1.0,0.9938271604938271,0.9969040247678018
