device,precision,recall,f1
Amazon Echo,0.9969465648854962,0.9984709480122325,0.9977081741787625
Android Phone 2,0.15789473684210525,1.0,0.2727272727272727
Belkin Wemo switch,0.6494949494949495,0.9069111424541608,0.7569158328428487
Belkin wemo motion sensor,0.8571428571428571,0.5329744279946165,0.6572614107883817
Dropcam,1.0,1.0,1.0
HP Printer,0.9957716701902748,0.9691358024691358,0.9822732012513035
Laptop,0.782608695652174,0.9473684210526315,0.8571428571428571
Netatmo Welcome,1.0,0.9991843393148451,0.9995920032639739
Netatmo weather station,0.9983079526226735,1.0,0.9991532599491956
PIX-STAR Photo-frame,0.8247191011235955,0.9972826086956522,0.9028290282902829
Samsung Galaxy Tab,0.9986945169712794,0.44502617801047123,0.6156941649899397
Samsung SmartCam,1.0,1.0,1.0
Smart Things,1.0,1.0,1.0
TP-Link Day Night Cloud camera,1.0,1.0,1.0
TP-Link Smart plug,0.45806451612903226,1.0,0.6283185840707964
TPLink Router Bridge LAN,1.0,0.9992810927390366,0.9996404171161453
Triby Speaker,0.9984544049459042,1.0,0.9992266047950503
Withings Smart Baby Monitor,1.0,1.0,1.0
