device,precision,recall,f1
Amazon Echo,0.9901477832512315,0.9852941176470589,0.9877149877149877
Android Phone 2,0.37777777777777777,0.26153846153846155,0.3090909090909091
Belkin Wemo switch,0.9885057471264368,0.9885057471264368,0.9885057471264368
Belkin wemo motion sensor,0.9726443768996961,1.0,0.9861325115562404
Dropcam,1.0,1.0,1.0
HP Printer,0.9830508474576272,1.0,0.9914529914529915
Laptop,0.9644970414201184,0.9367816091954023,0.9504373177842566
Netatmo Welcome,1.0,0.9923664122137404,0.9961685823754789
Netatmo weather station,1.0,1.0,1.0
PIX-STAR Photo-frame,0.90625,1.0,0.9508196721311475
Samsung Galaxy Tab,0.64,0.2857142857142857,0.3950617283950617
Samsung SmartCam,0.9858870967741935,1.0,0.9928934010152284
Smart Things,1.0,1.0,1.0
TP-Link Day Night Cloud camera,0.9523809523809523,1.0,0.975609756097561
TP-Link Smart plug,0.4,1.0,0.5714285714285714
TPLink Router Bridge LAN,0.9768365320979484,0.9979716024340771,0.9872909698996656
Triby Speaker,0.8064516129032258,1.0,0.8928571428571429
Withings Smart Baby Monitor,1.0,1.0,1.0
